Model,Location,mAP50,mAP50-95,Precision,Recall,FPS (avg),Latency ms,GPU Util %,CPU Util %,RAM (GB),Power (W),Temp (?C),Params (M),Model Size (MB),GFLOPs,Reduction vs Baseline (%),Validation2 Location,Validation2 mAP50,Validation2 mAP50-95,Validation2 Precision,Validation2 Recall
26m_DS3_p90.engine,research/object/26m/pruning/90/26m_DS3_p90.engine_benchmark.json,0.973339,0.909908,0.969478,0.949279,8.15,122.69,85.90,2.81,3.10,15.24,60.56,,,,,,,,,
26m_DS3_p90.pt,research/object/26m/pruning/90/26m_DS3_p90.pt_benchmark.json,0.974434,0.911547,0.965293,0.960900,4.99,200.39,89.01,3.76,3.47,14.56,59.37,,,,,,,,,
26m_DS3_p90_fp16.engine,research/object/26m/pruning_quantization/90/FP16/26m_DS3_p90_fp16.engine_benchmark.json,0.973371,0.894423,0.970243,0.949256,16.74,59.75,74.34,5.03,2.98,14.32,59.10,,,,,,,,,
26m_DS3_p90_int8.engine,research/object/26m/pruning_quantization/90/INT8/26m_DS3_p90_int8.engine_benchmark.json,0.975506,0.830868,0.964044,0.967286,25.21,39.66,67.34,6.78,2.89,12.37,57.67,,,,,,,,,
26s_DS3_p90.engine,research/object/26s/pruning/90/26s_DS3_p90.engine_benchmark.json,0.985764,0.893414,0.989761,0.973085,14.38,69.52,78.95,4.46,2.83,13.19,58.13,,,,,,,,,
26s_DS3_p90.pt,research/object/26s/pruning/90/26s_DS3_p90.pt_benchmark.json,0.985557,0.901326,0.995712,0.969668,9.57,104.46,81.05,7.03,3.15,13.22,57.56,,,,,,,,,
26s_DS3_p90_fp16.engine,research/object/26s/pruning_quantization/90/FP16/26s_DS3_p90_fp16.engine_benchmark.json,0.977777,0.883927,0.988647,0.972313,29.90,33.45,56.50,8.04,3.27,12.01,55.47,,,,,,,,,
26s_DS3_p90_int8.engine,research/object/26s/pruning_quantization/90/INT8/26s_DS3_p90_int8.engine_benchmark.json,0.983771,0.844368,0.990651,0.949884,37.05,26.99,54.70,9.00,3.19,10.54,54.77,,,,,,,,,
11l_DS3_from_11x.engine,research/object/11l_DS3/distillation/11l_DS3_from_11x.engine_benchmark.json,0.978533,0.899591,0.988984,0.967010,5.46,183.13,91.77,2.29,3.18,15.51,61.05,,,,,,,,,
11l_DS3_from_11x.pt,research/object/11l_DS3/distillation/11l_DS3_from_11x.pt_benchmark.json,0.977878,0.895597,0.971589,0.976187,3.42,292.50,94.57,5.26,3.33,14.92,60.15,,,,,,,,,
11l_DS3_from_11x_fp16.engine,research/object/11l_DS3/distilled-quantized/FP16/11l_DS3_from_11x_fp16.engine_benchmark.json,0.978384,0.873133,0.988702,0.967010,11.98,83.46,80.65,4.48,2.80,14.98,59.53,,,,,,,,,
11l_DS3_from_11x_int8.engine,research/object/11l_DS3/distilled-quantized/INT8/11l_DS3_from_11x_int8.engine_benchmark.json,0.977583,0.834604,0.986881,0.966629,18.45,54.20,69.34,6.06,2.71,12.71,57.25,,,,,,,,,
11l_pose_from_11x.engine,research/pose/11l-pose/distillation/11l_pose_from_11x.engine_benchmark.json,0.989222,0.952703,0.898755,1.000000,4.01,249.31,89.19,1.80,3.11,13.87,58.96,,,,,research/pose/11l-pose/distillation/11l_pose_from_11x_engine_validation2.json,0.979812,0.935270,0.910699,1.000000
11l_pose_from_11x.pt,research/pose/11l-pose/distillation/11l_pose_from_11x.pt_benchmark.json,0.991552,0.961484,0.933266,1.000000,3.27,306.19,93.18,6.60,3.37,14.94,60.27,,,,,research/pose/11l-pose/distillation/11l_pose_from_11x_pt_validation2.json,0.983052,0.934785,0.930344,0.983871
11l_pose_from_11x_fp16.engine,research/pose/11l-pose/distilled-quantized/FP16/11l_pose_from_11x_fp16.engine_benchmark.json,0.990333,0.954331,0.899795,1.000000,6.70,149.25,89.96,2.72,3.30,12.35,57.77,,,,,research/pose/11l-pose/distilled-quantized/FP16/11l_pose_from_11x_fp16_engine_validation2.json,0.980144,0.935611,0.910767,1.000000
11l_pose_from_11x_int8.engine,research/pose/11l-pose/distilled-quantized/INT8/11l_pose_from_11x_int8.engine_benchmark.json,0.946569,0.816171,0.838867,1.000000,7.98,125.38,86.71,3.00,3.28,10.64,57.45,,,,,research/pose/11l-pose/distilled-quantized/INT8/11l_pose_from_11x_int8_engine_validation2.json,0.953567,0.775935,0.866554,0.967742
11n_DS3_from_11l.engine,research/object/11n_DS3/distillation/11n_DS3_from_11l.engine_benchmark.json,0.953412,0.844492,0.965133,0.944509,23.26,42.99,66.29,7.28,3.26,11.47,54.48,,,,,,,,,
11n_DS3_from_11l.pt,research/object/11n_DS3/distillation/11n_DS3_from_11l.pt_benchmark.json,0.953759,0.843594,0.961229,0.954997,16.50,60.60,70.96,10.79,3.29,11.80,55.60,,,,,,,,,
11n_DS3_from_11l_fp16.engine,research/object/11n_DS3/distilled-quantized/FP16/11n_DS3_from_11l_fp16.engine_benchmark.json,0.953373,0.843801,0.965278,0.944509,39.03,25.62,45.73,10.88,3.27,10.09,53.73,,,,,,,,,
11n_DS3_from_11l_int8.engine,research/object/11n_DS3/distilled-quantized/INT8/11n_DS3_from_11l_int8.engine_benchmark.json,0.972479,0.785521,0.986038,0.955378,45.13,22.16,43.85,11.31,3.19,9.08,52.21,,,,,,,,,
11n_DS3_from_11m.engine,research/object/11n_DS3/distillation/11n_DS3_from_11m.engine_benchmark.json,0.955315,0.843420,0.979274,0.942510,22.78,43.90,64.03,7.12,3.18,11.40,55.40,,,,,,,,,
11n_DS3_from_11m.pt,research/object/11n_DS3/distillation/11n_DS3_from_11m.pt_benchmark.json,0.964943,0.856254,0.969688,0.961994,16.18,61.82,66.80,10.99,3.26,11.65,55.58,,,,,,,,,
11n_DS3_from_11m_fp16.engine,research/object/11n_DS3/distilled-quantized/FP16/11n_DS3_from_11m_fp16.engine_benchmark.json,0.954906,0.814936,0.978097,0.942391,38.99,25.65,46.30,10.89,3.27,10.07,53.89,,,,,,,,,
11n_DS3_from_11m_int8.engine,research/object/11n_DS3/distilled-quantized/INT8/11n_DS3_from_11m_int8.engine_benchmark.json,0.958990,0.769833,0.975973,0.944299,44.74,22.35,38.35,11.32,3.19,8.94,54.47,,,,,,,,,
11n_DS3_from_11s.engine,research/object/11n_DS3/distillation/11n_DS3_from_11s.engine_benchmark.json,0.976097,0.837551,0.985914,0.964093,23.59,42.39,59.82,7.26,3.19,11.33,55.30,,,,,,,,,
11n_DS3_from_11s.pt,research/object/11n_DS3/distillation/11n_DS3_from_11s.pt_benchmark.json,0.955233,0.847497,0.975046,0.952055,16.58,60.33,66.89,10.89,3.28,11.71,55.54,,,,,,,,,
11n_DS3_from_11s_fp16.engine,research/object/11n_DS3/distilled-quantized/FP16/11n_DS3_from_11s_fp16.engine_benchmark.json,0.965103,0.820044,0.989498,0.953581,38.26,26.14,49.11,10.56,3.28,10.25,53.05,,,,,,,,,
11n_DS3_from_11s_int8.engine,research/object/11n_DS3/distilled-quantized/INT8/11n_DS3_from_11s_int8.engine_benchmark.json,0.976914,0.792565,0.978021,0.971076,44.95,22.25,39.77,11.34,3.19,9.05,51.86,,,,,,,,,
11n_DS3_from_11x.engine,research/object/11n_DS3/distillation/11n_DS3_from_11x.engine_benchmark.json,0.960763,0.833237,0.976134,0.955378,23.54,42.48,62.91,7.35,3.18,11.31,55.54,,,,,,,,,
11n_DS3_from_11x.pt,research/object/11n_DS3/distillation/11n_DS3_from_11x.pt_benchmark.json,0.963686,0.832148,0.977978,0.955293,16.37,61.07,68.03,10.87,3.29,11.71,55.62,,,,,,,,,
11n_DS3_from_11x_fp16.engine,research/object/11n_DS3/distilled-quantized/FP16/11n_DS3_from_11x_fp16.engine_benchmark.json,0.960816,0.832228,0.976228,0.955378,39.83,25.10,48.37,10.99,3.29,9.98,53.43,,,,,,,,,
11n_DS3_from_11x_int8.engine,research/object/11n_DS3/distilled-quantized/INT8/11n_DS3_from_11x_int8.engine_benchmark.json,0.957419,0.791990,0.957813,0.953994,44.82,22.31,39.42,11.40,3.20,9.01,51.88,,,,,,,,,
11n_pose_from_11l.engine,research/pose/11n-pose/distillation/11n_pose_from_11l.engine_benchmark.json,0.930455,0.875568,0.817739,1.000000,9.42,106.13,83.18,3.43,3.11,10.34,54.83,,,,,research/pose/11n-pose/distillation/11n_pose_from_11l_engine_validation2.json,0.925227,0.868294,0.795901,1.000000
11n_pose_from_11l.pt,research/pose/11n-pose/distillation/11n_pose_from_11l.pt_benchmark.json,0.937109,0.881104,0.812751,1.000000,14.09,71.00,71.24,10.41,3.22,11.93,55.15,,,,,research/pose/11n-pose/distillation/11n_pose_from_11l_pt_validation2.json,0.945391,0.885051,0.845585,1.000000
11n_pose_from_11l_fp16.engine,research/pose/11n-pose/distilled-quantized/FP16/11n_pose_from_11l_fp16.engine_benchmark.json,0.928168,0.877956,0.822091,0.990393,11.28,88.68,81.42,4.09,3.22,9.57,52.06,,,,,research/pose/11n-pose/distilled-quantized/FP16/11n_pose_from_11l_fp16_engine_validation2.json,0.923566,0.868318,0.795794,1.000000
11n_pose_from_11l_int8.engine,research/pose/11n-pose/distilled-quantized/INT8/11n_pose_from_11l_int8.engine_benchmark.json,0.965765,0.864972,0.862485,0.857143,11.61,86.14,78.17,4.01,3.12,8.99,52.15,,,,,research/pose/11n-pose/distilled-quantized/INT8/11n_pose_from_11l_int8_engine_validation2.json,0.950887,0.846232,0.799079,0.983871
11n_pose_from_11m.engine,research/pose/11n-pose/distillation/11n_pose_from_11m.engine_benchmark.json,0.959244,0.893844,0.796322,1.000000,9.00,111.11,82.92,3.27,3.22,10.32,53.21,,,,,research/pose/11n-pose/distillation/11n_pose_from_11m_engine_validation2.json,0.959532,0.879594,0.827659,0.983871
11n_pose_from_11m.pt,research/pose/11n-pose/distillation/11n_pose_from_11m.pt_benchmark.json,0.976887,0.915881,0.872103,0.974342,14.10,70.91,68.66,10.43,3.20,11.94,54.80,,,,,research/pose/11n-pose/distillation/11n_pose_from_11m_pt_validation2.json,0.971863,0.900922,0.855370,0.983871
11n_pose_from_11m_fp16.engine,research/pose/11n-pose/distilled-quantized/FP16/11n_pose_from_11m_fp16.engine_benchmark.json,0.957650,0.886503,0.796281,1.000000,10.60,94.34,82.14,3.93,3.22,9.53,51.92,,,,,research/pose/11n-pose/distilled-quantized/FP16/11n_pose_from_11m_fp16_engine_validation2.json,0.959775,0.875855,0.826780,0.983871
11n_pose_from_11m_int8.engine,research/pose/11n-pose/distilled-quantized/INT8/11n_pose_from_11m_int8.engine_benchmark.json,0.963008,0.847573,0.867311,0.964286,11.20,89.32,78.00,3.88,3.13,8.86,51.63,,,,,research/pose/11n-pose/distilled-quantized/INT8/11n_pose_from_11m_int8_engine_validation2.json,0.972917,0.845758,0.881596,0.960790
11n_pose_from_11s.engine,research/pose/11n-pose/distillation/11n_pose_from_11s.engine_benchmark.json,0.973000,0.922370,0.814587,1.000000,9.13,109.55,82.25,3.31,3.11,10.21,53.95,,,,,research/pose/11n-pose/distillation/11n_pose_from_11s_engine_validation2.json,0.944062,0.889431,0.768959,1.000000
11n_pose_from_11s.pt,research/pose/11n-pose/distillation/11n_pose_from_11s.pt_benchmark.json,0.974271,0.923914,0.846204,0.928571,14.03,71.28,71.00,10.46,3.21,11.94,54.78,,,,,research/pose/11n-pose/distillation/11n_pose_from_11s_pt_validation2.json,0.960991,0.901954,0.811911,1.000000
11n_pose_from_11s_fp16.engine,research/pose/11n-pose/distilled-quantized/FP16/11n_pose_from_11s_fp16.engine_benchmark.json,0.973000,0.921761,0.819821,1.000000,11.04,90.54,77.50,4.09,3.23,9.35,51.99,,,,,research/pose/11n-pose/distilled-quantized/FP16/11n_pose_from_11s_fp16_engine_validation2.json,0.948978,0.889990,0.781735,1.000000
11n_pose_from_11s_int8.engine,research/pose/11n-pose/distilled-quantized/INT8/11n_pose_from_11s_int8.engine_benchmark.json,0.951535,0.876323,0.818135,1.000000,11.26,88.81,81.45,3.86,3.11,8.97,50.98,,,,,research/pose/11n-pose/distilled-quantized/INT8/11n_pose_from_11s_int8_engine_validation2.json,0.954113,0.853798,0.860771,1.000000
11n_pose_from_11x.engine,research/pose/11n-pose/distillation/11n_pose_from_11x.engine_benchmark.json,0.985641,0.940930,0.874740,1.000000,9.05,110.47,87.20,3.28,3.19,10.19,54.42,,,,,research/pose/11n-pose/distillation/11n_pose_from_11x_engine_validation2.json,0.967277,0.905086,0.858258,0.983871
11n_pose_from_11x.pt,research/pose/11n-pose/distillation/11n_pose_from_11x.pt_benchmark.json,0.969917,0.908158,0.860373,1.000000,14.12,70.82,67.34,10.25,3.22,11.93,55.65,,,,,research/pose/11n-pose/distillation/11n_pose_from_11x_pt_validation2.json,0.979545,0.910928,0.859985,0.990717
11n_pose_from_11x_fp16.engine,research/pose/11n-pose/distilled-quantized/FP16/11n_pose_from_11x_fp16.engine_benchmark.json,0.990333,0.945344,0.873735,1.000000,10.75,93.00,81.56,3.95,3.22,9.49,52.00,,,,,research/pose/11n-pose/distilled-quantized/FP16/11n_pose_from_11x_fp16_engine_validation2.json,0.968577,0.906170,0.857430,0.983871
11n_pose_from_11x_int8.engine,research/pose/11n-pose/distilled-quantized/INT8/11n_pose_from_11x_int8.engine_benchmark.json,0.960788,0.890066,0.819116,0.970527,10.98,91.11,81.90,3.85,3.12,8.82,54.08,,,,,research/pose/11n-pose/distilled-quantized/INT8/11n_pose_from_11x_int8_engine_validation2.json,0.952463,0.860756,0.807960,0.951613
11s_DS3_from_11l.engine,research/object/11s_DS3/distillation/11s_DS3_from_11l.engine_benchmark.json,0.978563,0.880626,0.990809,0.977380,13.69,73.04,76.81,4.74,3.13,13.33,57.96,,,,,,,,,
11s_DS3_from_11l.pt,research/object/11s_DS3/distillation/11s_DS3_from_11l.pt_benchmark.json,0.978747,0.886842,0.988060,0.975994,9.13,109.54,80.51,6.66,3.24,13.18,58.05,,,,,,,,,
11s_DS3_from_11l_fp16.engine,research/object/11s_DS3/distilled-quantized/FP16/11s_DS3_from_11l_fp16.engine_benchmark.json,0.978506,0.880203,0.990830,0.977356,25.55,39.14,57.51,7.96,3.23,12.11,56.64,,,,,,,,,
11s_DS3_from_11l_int8.engine,research/object/11s_DS3/distilled-quantized/INT8/11s_DS3_from_11l_int8.engine_benchmark.json,0.977068,0.817169,0.972080,0.976736,35.85,27.90,47.82,9.69,3.16,10.42,54.34,,,,,,,,,
11s_DS3_from_11m.engine,research/object/11s_DS3/distillation/11s_DS3_from_11m.engine_benchmark.json,0.979607,0.886111,0.978237,0.977499,13.80,72.47,75.57,4.70,3.11,13.31,58.47,,,,,,,,,
11s_DS3_from_11m.pt,research/object/11s_DS3/distillation/11s_DS3_from_11m.pt_benchmark.json,0.979607,0.885783,0.979041,0.977499,9.23,108.34,79.45,6.49,3.24,13.26,58.19,,,,,,,,,
11s_DS3_from_11m_fp16.engine,research/object/11s_DS3/distilled-quantized/FP16/11s_DS3_from_11m_fp16.engine_benchmark.json,0.979607,0.885667,0.978344,0.977499,25.19,39.69,62.42,7.74,3.23,12.13,56.57,,,,,,,,,
11s_DS3_from_11m_int8.engine,research/object/11s_DS3/distilled-quantized/INT8/11s_DS3_from_11m_int8.engine_benchmark.json,0.970607,0.816768,0.941606,0.974262,36.28,27.56,51.13,9.71,3.15,10.18,55.74,,,,,,,,,
11s_DS3_from_11x.engine,research/object/11s_DS3/distillation/11s_DS3_from_11x.engine_benchmark.json,0.978196,0.875521,0.987595,0.976395,13.75,72.73,74.97,4.68,3.12,13.26,58.30,,,,,,,,,
11s_DS3_from_11x.pt,research/object/11s_DS3/distillation/11s_DS3_from_11x.pt_benchmark.json,0.978019,0.878834,0.986672,0.977499,9.19,108.80,75.71,6.57,3.24,13.17,57.20,,,,,,,,,
11s_DS3_from_11x_fp16.engine,research/object/11s_DS3/distilled-quantized/FP16/11s_DS3_from_11x_fp16.engine_benchmark.json,0.978244,0.847154,0.987474,0.976453,25.32,39.49,59.30,7.81,3.24,12.20,55.70,,,,,,,,,
11s_DS3_from_11x_int8.engine,research/object/11s_DS3/distilled-quantized/INT8/11s_DS3_from_11x_int8.engine_benchmark.json,0.946801,0.765322,0.872704,0.962946,36.27,27.57,47.75,9.75,3.17,10.23,54.05,,,,,,,,,
11s_pose_from_11l.engine,research/pose/11s-pose/distillation/11s_pose_from_11l.engine_benchmark.json,0.966705,0.933521,0.795402,0.972083,6.62,150.99,87.53,2.47,2.94,11.18,53.11,,,,,research/pose/11s-pose/distillation/11s_pose_from_11l_engine_validation2.json,0.958247,0.904644,0.840184,0.932758
11s_pose_from_11l.pt,research/pose/11s-pose/distillation/11s_pose_from_11l.pt_benchmark.json,0.981269,0.960470,0.884405,0.964286,8.35,119.74,81.45,6.47,3.05,13.25,56.68,,,,,research/pose/11s-pose/distillation/11s_pose_from_11l_pt_validation2.json,0.972592,0.931913,0.873440,0.967742
11s_pose_from_11l_fp16.engine,research/pose/11s-pose/distilled-quantized/FP16/11s_pose_from_11l_fp16.engine_benchmark.json,0.969274,0.936334,0.796466,0.978545,8.78,113.85,83.89,3.26,3.03,9.89,52.46,,,,,research/pose/11s-pose/distilled-quantized/FP16/11s_pose_from_11l_fp16_engine_validation2.json,0.959994,0.906328,0.839904,0.930835
11s_pose_from_11l_int8.engine,research/pose/11s-pose/distilled-quantized/INT8/11s_pose_from_11l_int8.engine_benchmark.json,0.985107,0.958612,0.910158,0.928571,9.55,104.70,84.24,3.29,3.02,9.03,52.03,,,,,research/pose/11s-pose/distilled-quantized/INT8/11s_pose_from_11l_int8_engine_validation2.json,0.961741,0.891999,0.857744,0.951613
11s_pose_from_11m.engine,research/pose/11s-pose/distillation/11s_pose_from_11m.engine_benchmark.json,0.939685,0.902377,0.870342,1.000000,6.73,148.63,87.76,2.49,3.01,11.18,54.75,,,,,research/pose/11s-pose/distillation/11s_pose_from_11m_engine_validation2.json,0.936396,0.888602,0.860321,0.993483
11s_pose_from_11m.pt,research/pose/11s-pose/distillation/11s_pose_from_11m.pt_benchmark.json,0.976261,0.965256,0.846800,0.987288,8.38,119.39,78.47,6.39,3.05,13.31,55.77,,,,,research/pose/11s-pose/distillation/11s_pose_from_11m_pt_validation2.json,0.976427,0.952860,0.882126,0.965659
11s_pose_from_11m_fp16.engine,research/pose/11s-pose/distilled-quantized/FP16/11s_pose_from_11m_fp16.engine_benchmark.json,0.939850,0.903239,0.870775,1.000000,9.08,110.17,85.70,3.33,3.04,9.95,52.50,,,,,research/pose/11s-pose/distilled-quantized/FP16/11s_pose_from_11m_fp16_engine_validation2.json,0.952044,0.904797,0.884866,0.991740
11s_pose_from_11m_int8.engine,research/pose/11s-pose/distilled-quantized/INT8/11s_pose_from_11m_int8.engine_benchmark.json,0.933502,0.861659,0.731250,0.874850,9.63,103.87,81.77,3.36,2.94,9.03,53.71,,,,,research/pose/11s-pose/distilled-quantized/INT8/11s_pose_from_11m_int8_engine_validation2.json,0.939647,0.856840,0.785946,0.947583
11x_pose_baseline.engine,research/pose/11x-pose/baseline/11x_pose_baseline.engine_benchmark.json,0.893061,0.838599,0.699974,1.000000,2.69,372.16,94.72,1.24,3.33,15.61,61.93,,,,,research/pose/11x-pose/baseline/11x_pose_baseline_engine_validation2.json,0.908438,0.827513,0.744714,0.941070
11x_pose_baseline.pt,research/pose/11x-pose/baseline/11x_pose_baseline.pt_benchmark.json,0.932550,0.863533,0.712352,1.000000,1.86,538.84,95.92,5.99,3.63,15.28,60.76,,,,,research/pose/11x-pose/baseline/11x_pose_baseline_pt_validation2.json,0.935724,0.854065,0.772513,0.951613
11x_pose_fp16.engine,research/pose/11x-pose/quantization/FP16/11x_pose_fp16.engine_benchmark.json,0.888666,0.845543,0.698810,1.000000,4.89,204.50,91.97,2.14,3.28,14.59,60.36,,,,,research/pose/11x-pose/quantization/FP16/11x_pose_fp16_engine_validation2.json,0.908673,0.831686,0.745269,0.935484
11x_pose_int8.engine,research/pose/11x-pose/quantization/INT8/11x_pose_int8.engine_benchmark.json,0.915142,0.851765,0.778711,0.964286,6.56,152.43,89.70,2.53,3.18,12.26,59.70,,,,,research/pose/11x-pose/quantization/INT8/11x_pose_int8_engine_validation2.json,0.902581,0.819221,0.744503,0.983871
26l_pose_baseline.engine,research/pose/26l-pose/baseline/26l_pose_baseline.engine_benchmark.json,0.995000,0.962204,0.995652,1.000000,5.36,186.63,89.21,2.07,3.12,15.76,60.06,,,,,research/pose/26l-pose/baseline/26l_pose_baseline_engine_validation2.json,0.994841,0.943595,0.996241,0.983871
26l_pose_baseline.pt,research/pose/26l-pose/baseline/26l_pose_baseline.pt_benchmark.json,0.993000,0.960947,1.000000,0.956363,3.20,312.68,92.57,5.93,3.37,15.03,59.13,,,,,research/pose/26l-pose/baseline/26l_pose_baseline_pt_validation2.json,0.994216,0.950936,0.983795,0.979249
26l_pose_fp16.engine,research/pose/26l-pose/quantization/FP16/26l_pose_fp16.engine_benchmark.json,0.995000,0.962175,0.994790,1.000000,12.00,83.32,80.78,4.04,2.88,15.44,59.09,,,,,research/pose/26l-pose/quantization/FP16/26l_pose_fp16_engine_validation2.json,0.994841,0.943621,0.996358,0.983871
26l_pose_int8.engine,research/pose/26l-pose/quantization/INT8/26l_pose_int8.engine_benchmark.json,0.993966,0.931542,0.994582,0.964286,17.58,56.89,94.95,5.29,2.81,13.23,57.81,,,,,research/pose/26l-pose/quantization/INT8/26l_pose_int8_engine_validation2.json,0.994071,0.916381,1.000000,0.967590
26m_pose_baseline.engine,research/pose/26m-pose/baseline/26m_pose_baseline.engine_benchmark.json,0.993966,0.739050,0.959715,1.000000,6.62,150.99,88.69,2.49,3.12,16.31,78.79,,,,,research/pose/26m-pose/baseline/26m_pose_baseline_engine_validation2.json,0.984895,0.706707,0.963953,0.983871
26m_pose_baseline.pt,research/pose/26m-pose/baseline/26m_pose_baseline.pt_benchmark.json,0.992097,0.750037,0.978664,0.964286,4.01,249.55,92.71,3.42,3.35,15.42,76.40,,,,,research/pose/26m-pose/baseline/26m_pose_baseline_pt_validation2.json,0.980218,0.703908,0.937145,0.961970
26m_pose_fp16.engine,research/pose/26m-pose/quantization/FP16/26m_pose_fp16.engine_benchmark.json,0.993966,0.738327,0.961043,1.000000,14.65,68.28,77.24,4.69,2.71,15.79,75.71,,,,,research/pose/26m-pose/quantization/FP16/26m_pose_fp16_engine_validation2.json,0.984895,0.706749,0.964367,0.983871
26m_pose_int8.engine,research/pose/26m-pose/quantization/INT8/26m_pose_int8.engine_benchmark.json,0.172517,0.047715,0.308050,0.357143,21.68,46.13,69.13,6.07,2.70,13.30,74.04,,,,,research/pose/26m-pose/quantization/INT8/26m_pose_int8_engine_validation2.json,0.154956,0.046105,0.328461,0.315626
26n_pose_baseline.engine,research/pose/26n-pose/baseline/26n_pose_baseline.engine_benchmark.json,0.995000,0.993461,0.997891,1.000000,20.07,49.83,72.67,5.97,2.79,12.24,56.55,,,,,research/pose/26n-pose/baseline/26n_pose_baseline_engine_validation2.json,0.994841,0.994362,0.984127,1.000000
26n_pose_baseline.pt,research/pose/26n-pose/baseline/26n_pose_baseline.pt_benchmark.json,0.995000,0.991035,0.994778,1.000000,13.43,74.46,71.88,10.31,2.90,12.35,55.72,,,,,research/pose/26n-pose/baseline/26n_pose_baseline_pt_validation2.json,0.994841,0.988095,0.982902,1.000000
26n_pose_fp16.engine,research/pose/26n-pose/quantization/FP16/26n_pose_fp16.engine_benchmark.json,0.995000,0.993461,0.997945,1.000000,36.70,27.25,50.83,9.51,2.79,10.85,54.94,,,,,research/pose/26n-pose/quantization/FP16/26n_pose_fp16_engine_validation2.json,0.994841,0.994362,0.984127,1.000000
26n_pose_int8.engine,research/pose/26n-pose/quantization/INT8/26n_pose_int8.engine_benchmark.json,0.995000,0.727762,0.996909,1.000000,42.40,23.58,46.10,10.00,2.78,9.58,54.97,,,,,research/pose/26n-pose/quantization/INT8/26n_pose_int8_engine_validation2.json,0.947180,0.639120,0.965317,0.951613
26s_pose_baseline.engine,research/pose/26s-pose/baseline/26s_pose_baseline.engine_benchmark.json,0.995000,0.978070,1.000000,0.995886,11.91,83.94,82.50,3.91,3.04,14.55,75.48,,,,,research/pose/26s-pose/baseline/26s_pose_baseline_engine_validation2.json,0.994688,0.974829,0.994224,0.983871
26s_pose_baseline.pt,research/pose/26s-pose/baseline/26s_pose_baseline.pt_benchmark.json,0.993000,0.971450,0.997661,0.964286,7.65,130.77,85.47,6.53,3.21,14.19,76.52,,,,,research/pose/26s-pose/baseline/26s_pose_baseline_pt_validation2.json,0.994071,0.979671,0.982848,0.983871
26s_pose_fp16.engine,research/pose/26s-pose/quantization/FP16/26s_pose_fp16.engine_benchmark.json,0.995000,0.977486,1.000000,0.995890,23.21,43.09,72.30,6.75,3.10,13.45,73.75,,,,,research/pose/26s-pose/quantization/FP16/26s_pose_fp16_engine_validation2.json,0.994688,0.974742,0.995621,0.983871
26s_pose_int8.engine,research/pose/26s-pose/quantization/INT8/26s_pose_int8.engine_benchmark.json,0.995000,0.912300,0.995246,1.000000,33.00,30.31,61.33,8.34,3.01,11.53,73.30,,,,,research/pose/26s-pose/quantization/INT8/26s_pose_int8_engine_validation2.json,0.993904,0.900999,0.972615,0.967742
26x_DS3_p70.engine,research/object/26x/pruning/70/26x_DS3_p70.engine_benchmark.json,0.975635,0.873841,0.983230,0.975267,4.29,233.06,91.76,1.68,3.28,16.39,61.42,,,,,,,,,
26x_DS3_p70.pt,research/object/26x/pruning/70/26x_DS3_p70.pt_benchmark.json,0.975544,0.877773,0.982981,0.976670,2.52,396.87,97.09,2.47,3.99,15.28,59.91,,,,,,,,,
